INSERT INTO asset VALUES
(0, 'host0'),
(1, 'host1'),
(2, 'host2'),
(3, 'host3'),
(4, 'host4'),
(5, 'host5'),
(6, 'host6'),
(7, 'host7'),
(8, 'host8'),
(9, 'host9'),
(10, 'host10'),
(11, 'host11'),
(12, 'host12'),
(13, 'host13'),
(14, 'host14'),
(15, 'host15'),
(16, 'host16'),
(17, 'host17'),
(18, 'host18'),
(19, 'host19'),
(20, 'host20'),
(21, 'host21'),
(22, 'host22'),
(23, 'host23'),
(24, 'host24'),
(25, 'host25'),
(26, 'host26'),
(27, 'host27'),
(28, 'host28'),
(29, 'host29'),
(30, 'host30'),
(31, 'host31'),
(32, 'host32'),
(33, 'host33'),
(34, 'host34'),
(35, 'host35'),
(36, 'host36'),
(37, 'host37'),
(38, 'host38'),
(39, 'host39'),
(40, 'host40'),
(41, 'host41'),
(42, 'host42'),
(43, 'host43'),
(44, 'host44'),
(45, 'host45'),
(46, 'host46'),
(47, 'host47'),
(48, 'host48'),
(49, 'host49'),
(50, 'host50'),
(51, 'host51'),
(52, 'host52');
INSERT INTO quality VALUES
(0, 'root', '=', 'true'),
(2, 'os', '=', 'v1', 'true'),
(3, 'os', '=', 'v2', 'true'),
(4, 'os', '=', 'v2', 'true'),
(6, 'os', '=', 'v3', 'true'),
(7, 'os', '=', 'v4', 'true'),
(8, 'os', '=', 'v4', 'true'),
(10, 'os', '=', 'v5', 'true'),
(11, 'os', '=', 'v6', 'true'),
(12, 'os', '=', 'v6', 'true'),
(14, 'os', '=', 'v7', 'true'),
(15, 'os', '=', 'v8', 'true'),
(16, 'os', '=', 'v8', 'true'),
(18, 'os', '=', 'v9', 'true'),
(19, 'os', '=', 'v10', 'true'),
(20, 'os', '=', 'v10', 'true'),
(22, 'os', '=', 'v11', 'true'),
(23, 'os', '=', 'v12', 'true'),
(24, 'os', '=', 'v12', 'true'),
(26, 'os', '=', 'v13', 'true'),
(27, 'os', '=', 'v14', 'true'),
(28, 'os', '=', 'v14', 'true'),
(30, 'os', '=', 'v15', 'true'),
(31, 'os', '=', 'v16', 'true'),
(32, 'os', '=', 'v16', 'true'),
(34, 'os', '=', 'v17', 'true'),
(35, 'os', '=', 'v18', 'true'),
(36, 'os', '=', 'v18', 'true'),
(38, 'os', '=', 'v19', 'true'),
(39, 'os', '=', 'v20', 'true'),
(40, 'os', '=', 'v20', 'true'),
(42, 'os', '=', 'v21', 'true'),
(43, 'os', '=', 'v22', 'true'),
(44, 'os', '=', 'v22', 'true'),
(46, 'os', '=', 'v23', 'true'),
(47, 'os', '=', 'v24', 'true'),
(48, 'os', '=', 'v24', 'true'),
(50, 'os', '=', 'v25', 'true'),
(51, 'os', '=', 'v26', 'true'),
(52, 'os', '=', 'v26', 'true');
INSERT INTO topology VALUES
(0, 1, '->', 'conn', '', ''),
(0, 2, '->', 'conn', '', ''),
(1, 3, '->', 'conn', '', ''),
(1, 4, '->', 'conn', '', ''),
(2, 3, '->', 'conn', '', ''),
(2, 4, '->', 'conn', '', ''),
(3, 5, '->', 'conn', '', ''),
(3, 6, '->', 'conn', '', ''),
(4, 5, '->', 'conn', '', ''),
(4, 6, '->', 'conn', '', ''),
(5, 7, '->', 'conn', '', ''),
(5, 8, '->', 'conn', '', ''),
(6, 7, '->', 'conn', '', ''),
(6, 8, '->', 'conn', '', ''),
(7, 9, '->', 'conn', '', ''),
(7, 10, '->', 'conn', '', ''),
(8, 9, '->', 'conn', '', ''),
(8, 10, '->', 'conn', '', ''),
(9, 11, '->', 'conn', '', ''),
(9, 12, '->', 'conn', '', ''),
(10, 11, '->', 'conn', '', ''),
(10, 12, '->', 'conn', '', ''),
(11, 13, '->', 'conn', '', ''),
(11, 14, '->', 'conn', '', ''),
(12, 13, '->', 'conn', '', ''),
(12, 14, '->', 'conn', '', ''),
(13, 15, '->', 'conn', '', ''),
(13, 16, '->', 'conn', '', ''),
(14, 15, '->', 'conn', '', ''),
(14, 16, '->', 'conn', '', ''),
(15, 17, '->', 'conn', '', ''),
(15, 18, '->', 'conn', '', ''),
(16, 17, '->', 'conn', '', ''),
(16, 18, '->', 'conn', '', ''),
(17, 19, '->', 'conn', '', ''),
(17, 20, '->', 'conn', '', ''),
(18, 19, '->', 'conn', '', ''),
(18, 20, '->', 'conn', '', ''),
(19, 21, '->', 'conn', '', ''),
(19, 22, '->', 'conn', '', ''),
(20, 21, '->', 'conn', '', ''),
(20, 22, '->', 'conn', '', ''),
(21, 23, '->', 'conn', '', ''),
(21, 24, '->', 'conn', '', ''),
(22, 23, '->', 'conn', '', ''),
(22, 24, '->', 'conn', '', ''),
(23, 25, '->', 'conn', '', ''),
(23, 26, '->', 'conn', '', ''),
(24, 25, '->', 'conn', '', ''),
(24, 26, '->', 'conn', '', ''),
(25, 27, '->', 'conn', '', ''),
(25, 28, '->', 'conn', '', ''),
(26, 27, '->', 'conn', '', ''),
(26, 28, '->', 'conn', '', ''),
(27, 29, '->', 'conn', '', ''),
(27, 30, '->', 'conn', '', ''),
(28, 29, '->', 'conn', '', ''),
(28, 30, '->', 'conn', '', ''),
(29, 31, '->', 'conn', '', ''),
(29, 32, '->', 'conn', '', ''),
(30, 31, '->', 'conn', '', ''),
(30, 32, '->', 'conn', '', ''),
(31, 33, '->', 'conn', '', ''),
(31, 34, '->', 'conn', '', ''),
(32, 33, '->', 'conn', '', ''),
(32, 34, '->', 'conn', '', ''),
(33, 35, '->', 'conn', '', ''),
(33, 36, '->', 'conn', '', ''),
(34, 35, '->', 'conn', '', ''),
(34, 36, '->', 'conn', '', ''),
(35, 37, '->', 'conn', '', ''),
(35, 38, '->', 'conn', '', ''),
